Optical Parameter Monitor 7.0.5319.1035

Power Meter,PM100D
Power Meter SN,P0046669
Sensor,S120C
Sensor SN,250305506
Sensor Type,Photodiode
Wavelength,532 nm
Range,Auto,range changed during the measurement.

Start of Measurement,2/2/2026 14:18:17
Elapsed Time,00:00:09:974
Samples,1693

--Statistics--
Minimum [W],7.7399E-05
Maximum [W],0.00012807
Mean [W],0.00011702
Standard Deviation [W],2.0368E-05
Ratio,1.655 : 1

--Graph Data--
Time (ms),Power (W)
0.000,7.7751E-05
4.000,7.765E-05
7.000,7.7663E-05
10.000,7.7644E-05
14.000,7.7654E-05
17.000,7.7654E-05
20.000,7.7667E-05
24.000,7.7683E-05
27.000,7.7702E-05
31.000,7.7706E-05
35.000,7.7738E-05
38.000,7.7758E-05
42.000,7.7738E-05
45.000,7.7706E-05
48.000,7.7686E-05
52.000,7.7686E-05
55.000,7.7673E-05
58.000,7.764E-05
62.000,7.7618E-05
65.000,7.7621E-05
68.000,7.7631E-05
71.000,7.7644E-05
75.000,7.7647E-05
100.000,7.7624E-05
104.000,7.7637E-05
107.000,7.765E-05
111.000,7.7627E-05
114.000,7.764E-05
117.000,7.7647E-05
121.000,7.765E-05
124.000,7.7676E-05
127.000,7.7709E-05
155.000,7.7761E-05
158.000,7.7751E-05
162.000,7.7729E-05
165.000,7.7729E-05
168.000,7.7719E-05
172.000,7.7709E-05
175.000,7.7751E-05
200.000,7.7764E-05
203.000,7.7892E-05
206.000,7.7879E-05
210.000,7.7862E-05
214.000,7.7862E-05
217.000,7.7849E-05
220.000,7.7836E-05
224.000,7.7853E-05
227.000,7.7866E-05
255.000,7.7934E-05
258.000,7.7934E-05
261.000,7.7908E-05
265.000,7.7905E-05
268.000,7.7898E-05
272.000,7.7869E-05
275.000,7.7859E-05
300.000,7.7813E-05
303.000,7.7963E-05
307.000,7.7911E-05
310.000,7.7911E-05
313.000,7.7918E-05
317.000,7.7898E-05
320.000,7.7898E-05
324.000,7.7866E-05
327.000,7.7849E-05
334.000,7.783E-05
337.000,7.7856E-05
340.000,7.7843E-05
344.000,7.7833E-05
347.000,7.7833E-05
350.000,7.7875E-05
354.000,7.7856E-05
357.000,7.7843E-05
360.000,7.7833E-05
364.000,7.7849E-05
367.000,7.7836E-05
370.000,7.7836E-05
374.000,7.78E-05
377.000,7.7745E-05
403.000,7.7755E-05
407.000,7.7826E-05
411.000,7.783E-05
414.000,7.7817E-05
417.000,7.7794E-05
421.000,7.78E-05
424.000,7.7748E-05
427.000,7.7742E-05
457.000,7.7758E-05
460.000,7.7751E-05
464.000,7.7774E-05
467.000,7.7774E-05
470.000,7.7813E-05
473.000,7.7794E-05
477.000,7.7768E-05
502.000,7.7725E-05
508.000,7.7696E-05
512.000,7.7709E-05
516.000,7.7706E-05
519.000,7.7742E-05
522.000,7.7725E-05
525.000,7.7738E-05
554.000,7.7735E-05
557.000,7.7748E-05
561.000,7.7748E-05
564.000,7.7764E-05
567.000,7.7794E-05
571.000,7.782E-05
574.000,7.7846E-05
578.000,7.782E-05
603.000,7.7774E-05
606.000,7.7804E-05
610.000,7.781E-05
613.000,7.782E-05
616.000,7.7856E-05
620.000,7.7872E-05
623.000,7.7901E-05
626.000,7.7901E-05
630.000,7.7895E-05
634.000,7.7901E-05
637.000,7.7928E-05
641.000,7.7924E-05
644.000,7.7875E-05
647.000,7.7869E-05
651.000,7.7866E-05
654.000,7.7898E-05
657.000,7.7905E-05
661.000,7.7905E-05
664.000,7.7898E-05
667.000,7.7941E-05
670.000,7.7986E-05
674.000,7.8003E-05
677.000,7.8009E-05
704.000,7.7911E-05
707.000,7.7931E-05
710.000,7.7918E-05
714.000,7.7921E-05
717.000,7.7931E-05
720.000,7.7973E-05
724.000,7.7976E-05
727.000,7.7986E-05
755.000,7.796E-05
758.000,7.7843E-05
764.000,7.783E-05
767.000,7.7807E-05
773.000,7.7807E-05
776.000,7.783E-05
801.000,7.7859E-05
805.000,7.7706E-05
808.000,7.7722E-05
812.000,7.766E-05
815.000,7.766E-05
819.000,7.7657E-05
822.000,7.766E-05
826.000,7.767E-05
853.000,7.7686E-05
