Optical Parameter Monitor 7.0.5319.1035

Power Meter,PM100D
Power Meter SN,P0046669
Sensor,S120C
Sensor SN,250305506
Sensor Type,Photodiode
Wavelength,532 nm
Range,Auto,range changed during the measurement.

Start of Measurement,2/2/2026 13:24:27
Elapsed Time,00:00:09:999
Samples,1694

--Statistics--
Minimum [W],0.00050163
Maximum [W],0.00092187
Mean [W],0.00085604
Standard Deviation [W],9.4286E-05
Ratio,1.838 : 1

--Graph Data--
Time (ms),Power (W)
0.000,0.00050163
4.000,0.00050212
7.000,0.00050244
11.000,0.00050261
15.000,0.00050274
19.000,0.00050274
22.000,0.00050235
47.000,0.00050231
59.000,0.00050225
62.000,0.00050424
66.000,0.00050492
69.000,0.00050538
73.000,0.00050567
99.000,0.00050795
102.000,0.00050828
105.000,0.00050929
109.000,0.00051023
112.000,0.00051115
117.000,0.00051225
123.000,0.00051408
128.000,0.00051515
132.000,0.00051564
136.000,0.00051642
139.000,0.00051665
146.000,0.00051809
149.000,0.00051893
152.000,0.00051955
156.000,0.00052082
159.000,0.00052236
162.000,0.00052359
165.000,0.00052493
168.000,0.0005263
171.000,0.00052728
200.000,0.00052851
206.000,0.00053845
209.000,0.00053995
212.000,0.00054171
216.000,0.00054354
219.000,0.00054533
222.000,0.00054663
247.000,0.00054849
252.000,0.00055673
255.000,0.00055801
258.000,0.0005596
261.000,0.00056078
265.000,0.0005627
268.000,0.00056449
271.000,0.00056648
297.000,0.00056785
301.000,0.00057622
304.000,0.00057704
307.000,0.00057779
314.000,0.00057964
317.000,0.00058104
320.000,0.00058258
324.000,0.00058398
349.000,0.0005886
352.000,0.0005888
355.000,0.00058906
359.000,0.00058965
362.000,0.00059014
365.000,0.00059102
369.000,0.00059183
372.000,0.0005931
400.000,0.00059441
403.000,0.00059923
406.000,0.00059946
409.000,0.00059968
413.000,0.00060027
416.000,0.00060128
420.000,0.00060164
423.000,0.00060268
426.000,0.00060337
430.000,0.00060483
433.000,0.00060529
436.000,0.00060643
440.000,0.00060695
444.000,0.00060777
447.000,0.00060786
450.000,0.00060809
453.000,0.00060848
459.000,0.00060894
462.000,0.0006091
467.000,0.00060959
471.000,0.00061011
498.000,0.0006106
502.000,0.00061617
505.000,0.00061617
508.000,0.00061627
511.000,0.00061647
515.000,0.00061673
518.000,0.00061679
521.000,0.0006166
546.000,0.00061702
550.000,0.0006221
554.000,0.00062243
558.000,0.00062276
561.000,0.00062331
565.000,0.00062324
568.000,0.00062311
571.000,0.00062406
600.000,0.00062412
603.000,0.00063188
607.000,0.0006325
610.000,0.00063305
614.000,0.0006339
618.000,0.00063426
621.000,0.00063468
646.000,0.00063553
650.000,0.00064397
653.000,0.00064459
657.000,0.00064602
660.000,0.00064697
663.000,0.00064804
667.000,0.00064856
670.000,0.00064896
699.000,0.00065032
702.000,0.00065902
706.000,0.00065994
713.000,0.00066248
716.000,0.00066362
720.000,0.00066414
723.000,0.00066473
727.000,0.00066577
731.000,0.00066642
734.000,0.00066737
738.000,0.00066766
742.000,0.00066909
745.000,0.00066984
749.000,0.00067131
753.000,0.00067239
756.000,0.00067382
760.000,0.00067512
764.000,0.00067656
768.000,0.00067766
799.000,0.00067848
802.000,0.00068565
806.000,0.00068659
809.000,0.0006877
813.000,0.00068923
816.000,0.00069008
820.000,0.00069138
823.000,0.0006921
849.000,0.00069507
857.000,0.0006967
860.000,0.00069761
864.000,0.00069865
867.000,0.00069953
871.000,0.00070061
898.000,0.00070142
902.000,0.00070292
906.000,0.00070403
909.000,0.00070481
913.000,0.00070579
948.000,0.0007097
952.000,0.00071097
955.000,0.00071165
958.000,0.00071208
962.000,0.00071283
968.000,0.00071455
972.000,0.00071586
1000.000,0.0007167
1004.000,0.00071967
1007.000,0.00072013
1011.000,0.00072114
1014.000,0.00072185
1017.000,0.00072299
1020.000,0.00072381
1025.000,0.00072495
1028.000,0.00072615
1032.000,0.00072716
1035.000,0.00072756
1038.000,0.00072798
1042.000,0.00072778
1045.000,0.00072863
1048.000,0.00072853
1052.000,0.00072896
1055.000,0.00072905
1058.000,0.00072928
1062.000,0.00073013
1065.000,0.00073098
1068.000,0.00073199
